Position,Batsman,Team,Matches,Innings,Not_out,Runs,Highest_score,Average,Balls_faced,Strike_rate,Hundreds,Fifties,Ducks,Fours,Sixes
1,Sai Sudharsan,GT,15,15,1,759,108,54.21,486,156.17,1,6,0,88,21
2,Suryakumar Yadav,MI,16,16,5,717,73,65.18,427,167.91,0,5,0,69,38
3,Virat Kohli,RCB,15,15,3,657,73,54.75,454,144.71,0,8,0,66,19
4,Shubman Gill,GT,15,15,2,650,93,50,417,155.87,0,6,0,62,24
5,Mitchell Marsh,LSG,13,13,0,627,117,48.23,383,163.7,1,6,2,56,37
6,Shreyas Iyer,PBKS,17,17,5,604,97,50.33,345,175.07,0,6,1,43,39
7,Yashasvi Jaiswal,RR,14,14,1,559,75,43,350,159.71,0,6,0,60,28
8,Prabhsimran Singh,PBKS,17,17,0,549,91,32.29,342,160.52,0,4,1,56,30
9,KL Rahul,DC,13,13,3,539,112,53.9,360,149.72,1,3,0,52,21
10,Jos Buttler,GT,14,13,4,538,97,59.77,330,163.03,0,5,1,52,24
11,Nicholas Pooran,LSG,14,14,2,524,87,43.66,267,196.25,0,5,0,45,40
12,Heinrich Klaasen,SRH,14,13,2,487,105,44.27,282,172.69,1,1,0,42,25
13,Priyansh Arya,PBKS,17,17,0,475,103,27.94,265,179.24,1,2,1,55,25
14,Aiden Markram,LSG,13,13,0,445,66,34.23,299,148.82,0,5,0,38,22
15,Abhishek Sharma,MI,14,13,0,439,141,33.76,227,193.39,1,2,1,46,28
